employee_id,First_Name,Last_Name,date_of_join,designation,department,salary,project_name,project_start_date,project_end_date,cumilative_salary,rank,dense_rank,row_number
9,FirstName9,LastName9,2019-01-01,Project Manager,Operations,74000,Project J,2019-01-01,2019-07-30,74000,1,1,1
9,FirstName9,LastName9,2019-01-01,Project Manager,Operations,74000,Project K,2019-02-01,2019-08-30,148000,1,1,2
19,FirstName19,LastName19,2019-02-01,Project Manager,Operations,74000,Project T,2019-01-01,2019-07-30,222000,1,1,3
19,FirstName19,LastName19,2019-02-01,Project Manager,Operations,74000,Project U,2019-02-01,2019-08-30,296000,1,1,4
29,FirstName29,LastName29,2019-03-01,Project Manager,Operations,74000,Project D,2019-01-01,2019-07-30,370000,1,1,5
29,FirstName29,LastName29,2019-03-01,Project Manager,Operations,74000,Project E,2019-02-01,2019-08-30,444000,1,1,6
39,FirstName39,LastName39,2019-04-01,Project Manager,Operations,74000,Project N,2019-01-01,2019-07-30,518000,1,1,7
39,FirstName39,LastName39,2019-04-01,Project Manager,Operations,74000,Project O,2019-02-01,2019-08-30,592000,1,1,8
49,FirstName49,LastName49,2019-05-01,Project Manager,Operations,74000,Project X,2019-01-01,2019-07-30,666000,1,1,9
49,FirstName49,LastName49,2019-05-01,Project Manager,Operations,74000,Project Y,2019-02-01,2019-08-30,740000,1,1,10
59,FirstName59,LastName59,2019-06-01,Project Manager,Operations,74000,Project H,2019-01-01,2019-07-30,814000,1,1,11
59,FirstName59,LastName59,2019-06-01,Project Manager,Operations,74000,Project I,2019-02-01,2019-08-30,888000,1,1,12
69,FirstName69,LastName69,2019-07-01,Project Manager,Operations,74000,Project R,2019-01-01,2019-07-30,962000,1,1,13
69,FirstName69,LastName69,2019-07-01,Project Manager,Operations,74000,Project S,2019-02-01,2019-08-30,1036000,1,1,14
79,FirstName79,LastName79,2019-08-01,Project Manager,Operations,74000,Project B,2019-01-01,2019-07-30,1110000,1,1,15
79,FirstName79,LastName79,2019-08-01,Project Manager,Operations,74000,Project C,2019-02-01,2019-08-30,1184000,1,1,16
89,FirstName89,LastName89,2019-09-01,Project Manager,Operations,74000,Project L,2019-01-01,2019-07-30,1258000,1,1,17
89,FirstName89,LastName89,2019-09-01,Project Manager,Operations,74000,Project M,2019-02-01,2019-08-30,1332000,1,1,18
99,FirstName99,LastName99,2019-01-01,Project Manager,Operations,74000,Project V,2019-01-01,2019-07-30,1406000,1,1,19
99,FirstName99,LastName99,2019-01-01,Project Manager,Operations,74000,Project W,2019-02-01,2019-08-30,1480000,1,1,20
109,FirstName109,LastName109,2019-02-01,Project Manager,Operations,74000,Project F,2019-01-01,2019-07-30,1554000,1,1,21
109,FirstName109,LastName109,2019-02-01,Project Manager,Operations,74000,Project G,2019-02-01,2019-08-30,1628000,1,1,22
119,FirstName119,LastName119,2019-03-01,Project Manager,Operations,74000,Project P,2019-01-01,2019-07-30,1702000,1,1,23
119,FirstName119,LastName119,2019-03-01,Project Manager,Operations,74000,Project Q,2019-02-01,2019-08-30,1776000,1,1,24
129,FirstName129,LastName129,2019-04-01,Project Manager,Operations,74000,Project Z,2019-01-01,2019-07-30,1850000,1,1,25
129,FirstName129,LastName129,2019-04-01,Project Manager,Operations,74000,Project A,2019-02-01,2019-08-30,1924000,1,1,26
139,FirstName139,LastName139,2019-05-01,Project Manager,Operations,74000,Project J,2019-01-01,2019-07-30,1998000,1,1,27
139,FirstName139,LastName139,2019-05-01,Project Manager,Operations,74000,Project K,2019-02-01,2019-08-30,2072000,1,1,28
149,FirstName149,LastName149,2019-06-01,Project Manager,Operations,74000,Project T,2019-01-01,2019-07-30,2146000,1,1,29
